"Incidence, US by State, All Races, Lung & Bronchus (Both Sexes), 2017 - 2021",Count of population with lung cancer,popuation,Percent of Smokers by State Population
Alabama,19458,5024279,20.2
Alaska,1912,733391,17.4
Arizona,20068,7151502,14.9
Arkansas,13491,3011524,20.2
California,82010,39538223,10
Colorado,12034,5773714,13.5
Connecticut,13384,3605944,12.1
Delaware,3990,3271616,15.9
District of Columbia,1497,989948,12.7
Florida,89159,21538187,14.8
Georgia,34363,10711908,16.3
Hawaii,4045,1455271,12.3
Idaho,4959,1839106,15.3
Iowa,12766,3190369,19.2
Kansas,9494,2937880,16.4
Kentucky,24754,4505836,16.2
Louisiana,17610,4657757,23.6
Maine,7205,1362359,21.9
Maryland,19150,6177224,17.6
Massachusetts,25910,7029917,12.7
Michigan,40061,10439388,12
Minnesota,19385,5706494,18.7
Mississippi,12976,2961279,14.6
Missouri,27341,6154913,20.4
Montana,3561,1362359,19.6
Nebraska,6255,1961504,14.7
Nevada,8325,3104614,16.6
New Hampshire,5847,1377529,14.7
New Mexico,4606,2117522,15.7
New York,69610,20201249,16
North Carolina,41587,10439388,12.7
North Dakota,2562,779094,18.5
Ohio,50596,11799448,17
Oklahoma,15373,4237256,20.8
Oregon,13516,4237256,18.9
Pennsylvania,52995,13002700,14.5
Rhode Island,4436,1097379,17.3
South Carolina,20329,5118425,9.6
South Dakota,3102,886667,13.3
Tennessee,30246,6910840,17.5
Texas,67606,29145505,18.3
Utah,3562,3271616,19.9
Vermont,2588,643077,14.7
Virginia,27307,8631393,7.9
Washington,22563,7705281,15.1
West Virginia,10335,1793716,14
Wisconsin,21987,5893718,12.6
Wyoming,1462,576851,23.8
